4．データカタログ項目定義仕様,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"①
項目No","②
クラス名称","③
プロパティ名称","④
見出し","⑤
定義","⑥
値域","⑦
使い方","⑧
出現回数","⑨
サンプル値",,"⑩実装における
変数名
（CKAN）","⑪値域

（CKAN）","⑫列挙型
区分
(CKAN)","⑬出現回数

(CKAN)","⑭複数値
記載許可
(CKAN)","⑮入力必須
項目
（CKAN）",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
10000,dcat:Catalog,,カタログ,,,,,,,,,,,,,,,,,,,,,,
10010,dcat:Catalog,dct:title,カタログのタイトル,このカタログの名称である。,rdfs:Literal,登録しようとしているデータをひと言で言い表すタイトルを記載する。,1..n,新日本市オープンデータカタログ,,設定ファイル(CKAN configuration file)の　ckan.site_title,text,ー,1..1,No,必須,,,,,,,,,,
10020,dcat:Catalog,dct:description,カタログの説明,このカタログの内容の説明である。,rdfs:Literal,このカタログに、収録されているデータを踏まえて、データの特徴を第三者に理解してもらうための説明を記載する。,1..n,新日本市におけるオープンデータカタログ,,設定ファイル(CKAN configuration file)の　ckan.site_description,text,ー,1..1,No,必須,,,,,,,,,,
10030,dcat:Catalog,foaf:homepage ,カタログ記載のホームページ,このカタログのホームページのURLである,foaf:Document,このカタログのホームページのURLを記載する。,0..1,https://catalog.shinnihon.example.jp/,,設定ファイル(CKAN configuration file)の　ckan.site_url,url,ー,0..1,No,任意,,,,,,,,,,
10040,dcat:Catalog,dct:publisher,カタログの公開者,このカタログを公開する組織または個人を示す情報である。,rdfs:Literal,"このカタログを公開する組織または個人について、foaf:Agentクラスの表現方法を用いて以下の内容を記載する。
・エージェント種別（組織／個人）
・エージェント名称",0..1,新日本市企画部情報推進課,,,text,ー,1..1,No,必須,,,,,,,,,,
10050,dcat:Catalog,sipx:publisherURL,カタログの公開者（URL）,このカタログを公開する組織または個人を示すホームページのURLである。,URL,このカタログを公開する組織または個人について適切なURLを記載する,0..1,https://www.shinnihon.example.jp/shinnihoncity.html,,,url,ー,1..1,No,必須,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
10000,dcat:Dataset,,データセット,,,DCAT名前空間タグは、「http://www.w3.org/TR/2014/REC-vocab-dcat-20140116/#Class-Dataset」の定義に従う,,,,,,,,,,,,,,,,,,,
11010,dcat:Dataset,dct:title,データセットのタイトル,データセットの名称である。,rdfs:Literal,登録しようとしているデータセットをひと言で言い表すタイトルを記載する。,1..n,公共施設一覧,,title,text,－,1..1,Yes,必須,,,,,,,,,,
11020,dcat:Dataset,dct:description,データセットの説明,このデータセットの内容の説明である。,rdfs:Literal,"タイトルだけでは表せない、データセットの特徴を第三者に理解してもらうための説明を記載する。
例えば、データセットの収集目的、収集方法など。",1..n,新日本市が設置・管理する公共施設の一覧です。,,notes,text,－,1..1,Yes,必須,,,,,,,,,,
11030,dcat:Dataset,dct:issued,データセットの発行日,このデータセットの発行日である。,rdfs:Literal,このデータセットの情報をカタログに登録した日付をW3C XML Schemaのデータ型、xsd:dateもしくはxsd:dateTimeの形式の文字列（ISO8601の日付と時間に準拠した文字列）を用いて記載する。（データセットを外部に公開した日付ではない。）,0..1,2019-11-01,,extras:issued,text,－,1..1,No,必須,,,,,,,,,,
11040,dcat:Dataset,sipx:metadataCreated,データセットの発行日（自動設定）,このデータセットの発行日である。,xsd:dateTime,このデータセットの情報をカタログに登録した日付。カタログシステムが登録時に自動生成する項目。,0..1,2019-11-01T13:59:00,,metadata_created,text,－,1..1,No,自動,,,,,,,,,,
11050,dcat:Dataset,dct:modified,データセットの更新日または修正日,このデータセットに含まれるデータを最後に更新・修正した日付である。,rdfs:Literal,"カタログに登録した、データセットの情報を最後に更新した日付をW3C XML Schemaのデータ型、xsd:dateもしくはxsd:dateTimeの形式の文字列（ISO8601の日付と時間に準拠した文字列）を用いて記載する。
このプロパティが値を持たない場合、以下のいずれかを意味する。
a) データセットの情報は登録されたのち一度も更新されていない。
b) データセットの情報が更新された日付が不明である。
c) データセットの情報は継続的に更新され続けている。",0..1,2019-11-02,,extras:modified,text,－,0..1,No,任意,,,,,,,,,,
11060,dcat:Dataset,sipx:metadataModified,データセットの更新日または修正日（自動設定）,このデータセットに含まれるデータを最後に更新・修正した日付である。,xsd:dateTime,カタログに登録した、データセットの情報を最後に更新した日付。カタログシステムが登録時に自動生成する項目。,0..1,2019-11-02T18:35:00,,metadata_modified,text,－,0..1,No,自動,,,,,,,,,,
11070,dcat:Dataset,dct:language,データセットの情報を記述する言語,このカタログに記載するデータセットの情報がどの言語で記述されているかを示す情報である。,dct:LinguisticSystem,"データセットの情報を記述する言語について、国際標準化機構のISOが発行している「ISO 639言語コード」を参照して、アルファベット2文字(ないしは3文字)で記載するべきである[SHOULD]。
このプロパティを設定すると、カタログのプロパティ「カタログの情報を記述する言語」ではなく、このプロパティの設定がデータセットの情報を記述する言語と見なされる。
データセットを記述する言語が一つ以上ある場合、このプロパティを複数用いること。さらに言語毎に配信手段を別々に用意できる場合、言語毎に配信クラスのインスタンスを定義する。",0..n,ja,,extras:language,text,列挙値,0..1,Yes,任意,,,,,,,,,,
11080,dcat:Dataset,foaf:name,データセットの公開者,このデータセットを公開する組織または個人を示す情報である。,rdfs:Literal,このデータセットを公開する組織または個人を文字列で記載する。,0..1,新日本市,,extras:publisher_name,text,－,0..1,No,任意,,,,,,,,,,
11090,dcat:Dataset,dct:publisher,データセットの公開者（URL),このデータセットを公開する組織または個人を示す情報（URL)である。,URL,このデータセットを公開する組織または個人について、適切なURLを記載するか、本基準で定めるfoaf:Agentクラスの表現方法を用いて記載する。,0..1,https://www.shinnihon.example.jp/shinnihoncity.html,,extras:publisher_uri,uri,－,0..1,No,任意,,,,,,,,,,
11100,dcat:Dataset,sipx:creatorName,データセットの作成者,このデータセットの作成に関わった組織または個人を示す情報である。,rdfs:Literal,このデータセットの作成に関わった組織または個人の情報を記載する。,0..n,新日本市,,extras:creator_name,text,－,0..1,Yes,任意,,,,,,,,,,
11110,dcat:Dataset,dct:creator,データセットの作成者（URL）,このデータセットの作成に関わった組織または個人を示す情報(URL)である。,URL,このデータセットの作成に関わった組織または個人について、適切なURLを記載するか、foaf:Agentクラスの表現方法を用いて記載する。,0..n,https://www.shinnihon.example.jp/shinnihoncity.html,,extras:creator_url,url,－,0..1,Yes,任意,,,,,,,,,,
11120,dcat:Dataset,dct:accrualPeriodicity,データセットの提供頻度,このデータセットが提供される頻度である。,rdfs:Literal,このデータセットの提供頻度について、EU Vocabularies Frequency (http://publications.europa.eu/resource/authority/frequency)等を参照して、その中から適当な頻度を表す用語を選択し、そのIRIをプロパティの値として記載することを推奨する。ただし、業界団体にて策定するアプリケーションプロファイルにて、提供頻度コードを定義し、これを参照することとしてもよい。,0..1,http://publications.europa.eu/resource/authority/frequency/ANNUAL,,extras:frequency,text,列挙型,0..1,No,任意,,,,,,,,,,
11130,dcat:Dataset,dct:identifier,データセットのID,このデータセットをユニークにするための識別子である。,rdfs:Literal,カタログの作成者が、ユニークになるような規則を決め、発行したIDを記載する。本プロパティの値は、データセットのURIの一部分を構成することもありえるが、識別子を明確にしておくことは有意義である。,0..n,https://catalog.shinnihon.example.jp/dataset/t132292d0000000002,,extras:identifier,url,－,0..1,No,任意,,,,,,,,,,
11140,dcat:Dataset,dct:spatial,データセットの対象地域(URL),このデータセットに含まれるデータを収集するなどした対象地域(URL)である。,URL,"このデータセットの対象地域情報を以下のいずれかの方法で記載すること。
　1) 地域を識別するコードリストを参照し、対象値域に対応したURIをプロパティの値として設定する。
　2) 対象地域を識別するgeomatoryエンコーディングされた文字列（WKTなど）をプロパティの値として設定する。
　3) 対象地域を識別する文字列をプロパティの値として設定する。",0..n,https://www.geonames.org/1850692/shin-nihon-shi.html,,extras:spatial_url,url,－,0..1,Yes,任意,,,,,,,,,,
11150,dcat:Dataset,sipx:spatialText,データセットの対象地域,このデータセットに含まれるデータを収集するなどした対象地域(テキスト）,rdfs:Literal,データセットの対象地域情報をテキストで記載する,0..n,新日本市,,extras:spatial_text,text,－,0..1,Yes,任意,,,,,,,,,,
11160,dcat:Dataset,sipx:spatialGeoJSON,データセットの対象地域（緯度経度）,このデータセットに含まれるデータを収集するなどした対象地域(GeoJSON形式）,GeoJSON,データセットの対象地域情報をGeoJSON形式で記載する。,0..n,"{
    ""type"": ""Point"",
    ""coordinates"": [
        139.5382,
        35.7255]
}",,extras:spatial,GeoJSON,－,0..1,Yes,任意,,,,,,,,,,
11170,dcat:Dataset,sipx:temporalStart,データセットの対象期間（開始）,このデータセットに収録されているデータが対象とする期間の開始日時である,rdfs:Literal,データセットの対象期間の開始をW3C XML Schemaのデータ型、xsd:dateもしくはxsd:dateTimeの形式の文字列（ISO8601の日付と時間に準拠した文字列）を用いて記載する。,0..1,2019-11-01,,extras:temporal_start,text,－,0..1,No,任意,,,,,,,,,,
11180,dcat:Dataset,sipx:temporalEnd,データセットの対象期間（終了）,このデータセットに収録されているデータが対象とする期間の終了日時である,rdfs:Literal,データセットの対象期間の終了をW3C XML Schemaのデータ型、xsd:dateもしくはxsd:dateTimeの形式の文字列（ISO8601の日付と時間に準拠した文字列）を用いて記載する。,0..1,2020-10-31,,extras:temporal_end,text,－,0..1,No,任意,,,,,,,,,,
11190,dcat:Dataset,dcat:theme,データセットの主分類,このデータセットの主分類を示す情報である。一つのデータセットは複数のテーマを扱える。,skos:Concept,このデータセットの主分類について、「データセットの分類体系」で示される分類体系を参照して、適切な分類を記載する。,0..n,住宅・土地・建設,,extras:theme,text,列挙値,0..1,Yes,任意,,,,,,,,,,
11200,dcat:Dataset,dcat:keyword,データセットのキーワード ,このデータセットのキーワードである。検索のためのタグとしても用いられる。,rdfs:Literal,このデータセットに関連するキーワードを記載する。,0..n,"公共設備一覧,推奨データセット,新日本市",,tags,text,－,0..1,Yes,任意,,,,,,,,,,
11210,dcat:Dataset,sipx:contactName,データセットの窓口,このデータセットに関する問い合わせを受け付ける窓口の連絡先情報である。,rdfs:Literal,データセットの窓口の連絡先情報を記載する。,0..n,新日本市企画部情報推進課,,extras:contact_name,text,－,0..1,No,任意,,,,,,,,,,
11220,dcat:Dataset,dcat:contactPoint,データセットの窓口（URL）,このデータセットに関する問い合わせを受け付ける窓口の連絡先情報（URL)である。,URL,データセットの窓口の連絡先情報を本基準で定めるvcard:Kindクラスの表現方法を用いて記載する。,0..n,https://www.shinihon.example.jp/kikaku_vcard,,extras:contact_url,url,－,0..1,No,任意,,,,,,,,,,
11230,dcat:Dataset,dcat:landingPage,データセットの説明ページURL,このデータセットに関する説明ページのURLである。,URL,このデータセットに関する説明ページのURLを記載する。,0..n,https://www.shinihon.example.jp/siseizyoho/zyoho/opendata20181205.html,,url,url,－,0..1,No,任意,,,,,,,,,,
11240,dcat:Dataset,sipx:datasetURL,データセットのURL,データセットが外部からアクセスできるURL,URL,外部にあるデータセットにアクセスできるURLを記述する。,0..1,https://www.shinihon.example.jp/dataset/t132292d0000000002/resource/8378d4fc-0e2f-4d32-a7dd-4d2da8a9e117,,extras:dataset_url,url,－,0..1,No,任意,,,,,,,,,,
11250,dcat:Dataset,sipx:representativeDistributionLicenseTitle,データセットのライセンス,データセットに含まれる配信の代表する配信を受けるためのライセンスを示す,rdfs:Literal,"・複数の配信が存在している状況で、それらを代表するライセンスが在する場合は、こちらの項目に名称を記載する。
・適用されるライセンスについて、クリエイティブ・コモンズなどのよく知られたライセンスが適用できる場合は、その名称を記載することを推奨する。
・独自に定めるライセンスの名称を記載することもできる。",0..1,CC BY 4.0,,license_title,text,列挙型,0..1,No,任意,,,,,,,,,,
11260,dcat:Dataset,sipx:representativeDistributionLicense,データセットのライセンス（URL）,データセットに含まれる配信の代表する配信を受けるためのライセンスを示すURL,URL,"・複数の配信が存在している状況で、それらを代表するライセンスを示すURLが在する場合は、こちらの項目を利用してURLを指定。
・適用されるライセンスについて、クリエイティブ・コモンズなどのよく知られたライセンスが適用できる場合は、それを識別するURIをプロパティの値として記載することを推奨する。
・独自に定めるライセンス文書のURIをプロパティの値として記載することもできる。",0..1,https://creativecommons.org/licenses/by/4.0/,,license_url,text,列挙値,0..1,No,任意,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
12000,dcat:Dataset,,データセットのデータ情報,,,,,,,,,,,,,,,,,,,,,,
12010,dcat:Dataset,void:vocabulary,語彙,データセットの内容の記述（ヘッダやデータ項目見出し、データ項目の値）で使われる語彙の定義が記述されている情報にアクセスするURLである。,URL,RDF等で定義された機械可読の情報を指すべきである。,0..1,https://www.data.go.jp/data/dataset/cas_20180312_0002/resource/314ae9d0-46e4-4228-8ec1-a63117ad1b74,,extras:vocabulary,url,ー,0..1,No,任意,,,,,,,,,,
12020,dcat:Dataset,sipx:term,用語,データセットの内容の記述（ヘッダやデータ項目見出し、データ項目の値）で使われている代表的な用語を記す。,rdfs:Literal,ここで記述した用語は語彙データ項目で示されたURLの先で語彙の一部として定義されていることが望ましい。,0..n,"”都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_通称,POIコード,住所,方書,緯度,経度,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能時間特記事項,説明,バリアフリー情報,URL,備考”",,extras:term,text,ー,0..1,Yes,任意,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
13000,sipx:TradingPolicy,,データ利用条件,,,,,,,,,,,,,,,,,,,,,,
13010,sipx:TradingPolicy,sipx:contractType,契約形態,契約形態を示す。,rdfs:Literal,"契約形態について自由形式のテキストで記載する。
※ 業界団体で定めるプロファイルでコードリストを公開することを推奨する。その際、コードリストの値としては、以下のような値が含まれることが望ましい。ただし、その他の値を設定してもよい。
【コードリストの値の例示】譲渡/利用許諾/共同利用",0..1,利用許諾,,extras:trading_policy_contract_type,text,列挙型,0..1,No,任意,,,,,,,,,,
13020,sipx:TradingPolicy,sipx:nda,秘密保持義務,データの購入者に、秘密保持義務を含む、契約の締結や規約への同意を求めるかを示す。,rdfs:Literal,購入者に同意を求めるか、求めないか、についてテキストで記載する。,0..1,求めない,,extras:trading_policy_nda,text,列挙型,0..1,No,任意,,,,,,,,,,
13030,sipx:TradingPolicy,sipx:useApplication,利用用途　,どの用途であれば、利用を認めるかを示す。,rdfs:Literal,"許諾する利用用途について自由形式のテキストで記載する。
※ 業界団体で定めるプロファイルでコードリストを公開することを推奨する。
その際、コードリストの値としては、以下のような値が含まれることが望ましい。ただし、その他の値を設定してもよい。ただし、その他の値を設定してもよい。
【コードリストの値の例示】商用利用／研究利用／教育利用／制限なし／個別調整",0..n,制限なし,,extras:trading_policy_use_application,text,列挙型,0..1,Yes,任意,,,,,,,,,,
